"""    never felt more sad than i am now  @user aww why ?  @user @user its a long story ! sure you wanna know it ? bahaha and thanks for caring btw &lt;heart&gt; ""","""    @user i know , i 'm just so happy for you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ""","""   @user i don 't mind to hear it i 've got all day and youre welcome & lt <number> """,1.6521739130434783
"""    dear children ac dc , aerosmith and van halen were popular before guitar hero . please go away . love , ruffus .  @user guitar hero kinda ruined the classic rock metal thing for me . \ i was raised on stuff like that . ""","""    @user on the plus side, at least most of the kids know what im talking about. before the game, most of them had never even heard of these bands! ""","""   @user @user meh , i don 't let stuff ruin things for me . eloquent maybe it 's relevant that i have <number> gh games . & gt _ & gt """,4.5652173913043477
"""    you know , the coalition forced an election and the canadian public isn 't playing or watching . they 're already decided . cdnpoli elxn41 nhl  @user this is what worries me . voting is a right , but we have to act on it in a responsible manner ie . make an informed vote ! ! ! ""","""    @user grrrr ! * hint * i will try to get to the post office tomorrow . ""","""   @user the voters will be very informed , and very fed up with the shenanigans in ottawa . cdnpoli """,1.7826086956521738
"""    hanging out in the library for the past couple hours makes me feel like i 'll do great on this test !  @user wow , what a nerd lol jk haha p what ! ? you changed your bio  @user do you like my bio now ? i feel bad for changing it but i like change . p ""","""    @user what ? d ""","""   @user yes i do it definitely sums up who you are lisa . yay ! you still got me """,2.8260869565217392
"""    dear children ac dc , aerosmith and van halen were popular before guitar hero . please go away . love , ruffus .  @user guitar hero kinda ruined the classic rock metal thing for me . \ i was raised on stuff like that . ""","""    @user i 'm not sure . i 'm just saying . i 'm not sure if i 'm going to be able to watch it . ""","""   @user @user meh , i don 't let stuff ruin things for me . eloquent maybe it 's relevant that i have <number> gh games . & gt _ & gt """,1.6086956521739131
"""    dear hot water heater , forcing me to take a cold shower is only making me want to take you out back for target practice . that is all . fb  @user that sucks ! ""","""    @user thank you for clearing up the situation . i was a bit worried about him i 'm glad he is fine x ""","""   @user it sure does . on the other hand , makes the showers quick . """,1.2173913043478262
"""    my headphones are broke ! n i 'm damn near tears . does anybody know if the sell skull candy 's downtown ?  @user radioshack sells them so maybe they got them there ""","""    @user phew. k. ill go over after class. keep your fingers crossed!!! ""","""   @user yeah i need to go to the mall . i need a new jacket ! """,4.4347826086956523
"""    why oh why do i want to do a musical for script frenzy ? why do i want to torture myself so ?  @user a musical ? ? ? spectacular ! will you be composing the music as well ? ""","""    @user yup. apparently one of the higher ups thought i was the best person for the job... ""","""   @user yes i will be . and since i totally suck at writing music , this will be quite the undertaking for me . """,4.4347826086956523
"""    never felt more sad than i am now  @user aww why ?  @user @user its a long story ! sure you wanna know it ? bahaha and thanks for caring btw &lt;heart&gt; ""","""    @user ive got nothing going on. give me a call if you want to chat/grab a coffee. stay strong! ""","""   @user i don 't mind to hear it i 've got all day and youre welcome & lt <number> """,4.6086956521739131
"""    @user are you getting a @user t - shirt ? xx  @user yes i am you ? x  @user nicee , yeah i think so d xx  @user ahh thats cool , what colour ? ""","""    @user i can't decide! blue or green.... which are you getting? ""","""   @user not sure yet , and you ? x """,5.0
"""    my girlfriend 's dad grills like a boss grillmaster  @user one time , brad and my dad decided to make a huge fire while grilling . just ask @user ""","""    @user high prices , no selection service quality , why would people shop local ? responsibility rests on business too ! @user ""","""   @user don 't know if i believe it . this guy knows what he 's doing . """,1.2608695652173914
"""    dearest ! question . how many thousands of people can panaad occupy ?  @user panaad has &lt;number&gt; k seat capacity while rizal has &lt;number&gt; k thats why they choose rizal i think . ""","""    &lt;third_speaker&gt; @user @user media &lt;number&gt; and back benches were both great shows too . although m7 could have been a bit more charismatic imo ""","""   now i know about the siting capacity . thanks for the info @user great evening . """,2.347826086956522
"""    hope i didnt have any work to do over the break cuz i didnt pack anything that relates to school ! !  man @user hates school but is in college lol ""","""    @user are you coming to azukars for my batchlorette party ! the guestlist is free . ""","""   @user lol . im tryna make a living ! ! ! """,2.5652173913043477
"""    have you ever met mariah in person or dreamed that you did ? ? lym ! ! ! mariahmoments @user lambily  @user i dreamt that i met @user on a mall and she invited me to her concert and gave me a hug lol . ""","""    &lt;third_speaker&gt; @user @user i love all my fans lol everyone ""","""   @user @user aaaww , that 's so sweet ! i 've had more dreams than i can count about meeting her - in v . i . p , at parties chatting away """,3.347826086956522
"""    my girlfriend 's dad grills like a boss grillmaster  @user one time , brad and my dad decided to make a huge fire while grilling . just ask @user ""","""    @user lololol . i agree . or maybe you 're not a real man because you 're not muscley ? **unknown** ""","""   @user don 't know if i believe it . this guy knows what he 's doing . """,1.8695652173913044
"""    you know , the coalition forced an election and the canadian public isn 't playing or watching . they 're already decided . cdnpoli elxn41 nhl  @user this is what worries me . voting is a right , but we have to act on it in a responsible manner ie . make an informed vote ! ! ! ""","""    @user agree. it pisses me off that there are so many single issue voters! they pay attention for 5 minutes and then tune out everything else... ""","""   @user the voters will be very informed , and very fed up with the shenanigans in ottawa . cdnpoli """,4.7826086956521738
"""    you know , the coalition forced an election and the canadian public isn 't playing or watching . they 're already decided . cdnpoli elxn41 nhl  @user this is what worries me . voting is a right , but we have to act on it in a responsible manner ie . make an informed vote ! ! ! ""","""    @user i 'm not sure if it 's a &lt;unk&gt; or &lt;unk&gt; . but i 'm sure it 's not a &lt;unk&gt; . ""","""   @user the voters will be very informed , and very fed up with the shenanigans in ottawa . cdnpoli """,2.347826086956522
"""    dear children ac dc , aerosmith and van halen were popular before guitar hero . please go away . love , ruffus .  @user guitar hero kinda ruined the classic rock metal thing for me . \ i was raised on stuff like that . ""","""    @user i never seen it ! i hope it is . ""","""   @user @user meh , i don 't let stuff ruin things for me . eloquent maybe it 's relevant that i have <number> gh games . & gt _ & gt """,1.5652173913043479
"""    ice cream will always be my true first love  @user mint chocolate chip ? ""","""    @user i live in winter springs . &lt;number&gt; mins from work ""","""   @user haha it doesn 't even matter any kind honestly """,1.0869565217391304
"""    sooo , hollister is becoming the new aeropostale incase u didn 't know . thank me later  @user yea , i noticed that lol i dont like either brands that much ""","""    @user nahhh . hood was bumpin his cd heavy when it dropped . but it did have a few songs on there for the jawns tho lol ""","""   @user this dude is braggin on how he be rockin hollister . uhhmm ok u like <number> yrs late lol """,1.3478260869565217
"""    have you ever met mariah in person or dreamed that you did ? ? lym ! ! ! mariahmoments @user lambily  @user i dreamt that i met @user on a mall and she invited me to her concert and gave me a hug lol . ""","""    @user the real mumu ya pu hahahaha ""","""   @user @user aaaww , that 's so sweet ! i 've had more dreams than i can count about meeting her - in v . i . p , at parties chatting away """,1.9565217391304348
"""    hanging out in the library for the past couple hours makes me feel like i 'll do great on this test !  @user wow , what a nerd lol jk haha p what ! ? you changed your bio  @user do you like my bio now ? i feel bad for changing it but i like change . p ""","""    @user i love it! don't feel bad for changing it. it was getting old anyways ""","""   @user yes i do it definitely sums up who you are lisa . yay ! you still got me """,4.9130434782608692
